0.00	326.64	51.88	0.47640	326.64	51.88	0.47640	9.339	1523.68
0.00	326.78	51.95	0.47842	326.52	51.98	0.50322	41.487	1523.68
0.00	326.85	51.99	0.48060	326.62	52.12	0.56035	41.859	1523.68
0.00	327.00	52.06	0.48299	326.77	52.20	0.55191	40.569	1523.68
0.00	327.13	52.13	0.48497	326.94	52.30	0.55520	37.006	1523.68
0.00	327.26	52.21	0.48667	327.08	52.37	0.55030	34.853	1523.68
0.00	327.33	52.24	0.48675	327.17	52.39	0.52512	41.543	1523.68
0.00	327.48	52.32	0.48654	327.33	52.47	0.51609	41.598	1523.68
0.00	327.62	52.39	0.48670	327.46	52.57	0.53462	34.819	1523.68
0.00	327.76	52.47	0.48707	327.61	52.66	0.53710	41.864	1523.68
0.00	327.83	52.50	0.48723	327.68	52.68	0.52499	37.286	1523.68
0.00	327.97	52.58	0.48699	327.82	52.75	0.51621	35.500	1523.68
0.00	328.11	52.65	0.48666	327.95	52.82	0.51186	40.924	1523.68
0.00	328.24	52.72	0.48620	328.09	52.88	0.50424	42.594	1523.68
0.00	328.31	52.76	0.48538	328.15	52.91	0.50329	44.290	1523.68
0.00	328.45	52.83	0.48442	328.28	52.99	0.50270	40.490	1523.68
0.00	328.59	52.91	0.48356	328.42	53.05	0.49822	37.294	1523.68
0.00	328.65	52.94	0.48226	328.48	53.08	0.49219	41.476	1523.68
0.00	328.81	53.02	0.48080	328.62	53.13	0.47962	40.742	1523.68
0.00	328.95	53.10	0.47945	328.75	53.18	0.47246	42.105	1523.68
0.00	329.10	53.17	0.47775	328.87	53.25	0.47431	43.324	1523.68
0.00	329.23	53.24	0.47529	329.00	53.33	0.47529	18.984	1523.68
0.00	329.31	53.28	0.47260	329.07	53.36	0.47320	44.001	1523.68
0.00	329.44	53.35	0.46993	329.22	53.43	0.46767	16.055	1523.68
0.00	329.59	53.42	0.46685	329.35	53.49	0.46319	42.893	1523.68
0.00	329.73	53.49	0.46432	329.50	53.55	0.45355	42.677	1523.68
0.00	329.80	53.53	0.46179	329.57	53.57	0.44888	36.803	1523.68
0.00	329.95	53.60	0.45934	329.71	53.64	0.44434	39.909	1523.68
0.00	330.02	53.64	0.45761	329.79	53.67	0.44112	34.835	1523.68
0.00	330.16	53.70	0.45513	329.93	53.74	0.43750	39.148	1523.68
0.00	330.31	53.77	0.45206	330.07	53.80	0.43464	42.410	1523.68
0.00	330.45	53.84	0.44911	330.20	53.86	0.43248	106.299	1523.68
0.00	330.59	53.91	0.44538	330.36	53.92	0.42458	18.959	1523.68
0.00	330.66	53.94	0.44233	330.42	53.96	0.42538	40.086	1523.68
0.00	330.81	54.01	0.44032	330.58	54.04	0.42395	44.768	1523.68
0.00	330.95	54.08	0.43824	330.72	54.11	0.42379	41.558	1523.68
0.00	331.09	54.14	0.43498	330.87	54.18	0.42232	44.501	1523.68
0.00	331.16	54.17	0.43246	330.94	54.22	0.42250	16.160	1523.68
0.00	331.30	54.24	0.42962	331.10	54.29	0.41984	41.794	1523.68
0.00	331.45	54.30	0.42810	331.25	54.35	0.41767	24.196	1523.68
0.00	331.59	54.37	0.42558	331.37	54.41	0.41507	29.756	1523.68
0.00	331.74	54.43	0.42272	331.51	54.47	0.41176	35.069	1523.68
0.00	331.81	54.47	0.42093	331.60	54.50	0.40902	34.352	1523.68
0.00	331.97	54.54	0.41889	331.76	54.57	0.40800	37.868	1523.68
0.00	332.11	54.60	0.41713	331.91	54.63	0.40541	43.708	1523.68
0.00	332.19	54.63	0.41502	331.98	54.67	0.40358	42.305	1523.68
0.00	332.32	54.69	0.41345	332.13	54.73	0.40231	40.850	1523.68
0.00	332.48	54.76	0.41277	332.28	54.80	0.40302	39.442	1523.68
0.00	332.62	54.82	0.41345	332.43	54.87	0.40396	42.394	1523.68
0.00	332.70	54.85	0.41449	332.50	54.90	0.40513	40.889	1523.68
0.00	332.83	54.91	0.41490	332.66	54.98	0.40827	40.518	1523.68
0.00	332.98	54.97	0.41520	332.81	55.04	0.40887	38.102	1523.68
0.00	333.13	55.04	0.41597	332.96	55.11	0.40954	21.557	1523.68
0.00	333.27	55.10	0.41630	333.11	55.16	0.40824	43.134	1523.68
0.00	333.34	55.13	0.41771	333.19	55.19	0.40919	26.875	1523.68
0.00	333.49	55.19	0.41913	333.34	55.25	0.41003	43.466	1523.68
0.00	333.63	55.25	0.42060	333.50	55.32	0.41077	23.338	1523.68
0.00	333.77	55.31	0.42181	333.65	55.38	0.41249	40.235	1523.68
0.00	333.84	55.35	0.42314	333.72	55.42	0.41561	25.558	1523.68
0.00	333.99	55.41	0.42452	333.87	55.49	0.41679	41.091	1523.68
0.00	334.07	55.44	0.42619	333.94	55.51	0.41818	38.820	1523.68
0.00	334.21	55.51	0.42786	334.07	55.58	0.42036	43.950	1523.68
0.00	334.37	55.58	0.42906	334.23	55.64	0.42084	40.959	1523.68
0.00	334.51	55.64	0.42940	334.38	55.71	0.42161	41.554	1523.68
0.00	334.66	55.71	0.43047	334.53	55.77	0.42132	39.408	1523.68
0.00	334.73	55.74	0.43206	334.60	55.79	0.42232	38.597	1523.68
0.00	334.88	55.81	0.43270	334.74	55.85	0.42243	40.202	1523.68
0.00	335.02	55.87	0.43345	334.88	55.91	0.42238	43.038	1523.68
0.00	335.09	55.90	0.43421	334.96	55.95	0.42350	40.868	1523.68
0.00	335.23	55.96	0.43467	335.10	56.00	0.42357	40.626	1523.68
0.00	335.38	56.03	0.43502	335.24	56.07	0.42448	43.168	1523.68
0.00	335.52	56.10	0.43566	335.38	56.14	0.42513	38.382	1523.68
0.00	335.66	56.16	0.43638	335.53	56.19	0.42503	33.601	1523.68
0.00	335.73	56.20	0.43712	335.60	56.22	0.42561	39.181	1523.68
0.00	335.88	56.26	0.43753	335.72	56.29	0.42714	38.403	1523.68
0.00	336.02	56.33	0.43893	335.86	56.35	0.42819	20.190	1523.68
0.00	336.09	56.36	0.43986	335.93	56.39	0.43056	40.725	1523.68
0.00	336.23	56.43	0.44059	336.06	56.45	0.43072	40.525	1523.68
0.00	336.38	56.49	0.44179	336.20	56.51	0.43264	40.544	1523.68
0.00	336.52	56.56	0.44315	336.33	56.57	0.43367	40.594	1523.68
0.00	336.58	56.59	0.44375	336.40	56.60	0.43408	37.813	1523.68
